https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MKR
1642809600000,2022-01-22 00:00:00,MKR/USD,1802.1,2055.9,1622.6,1800.1,1242559.276964096,690.27236096
1642723200000,2022-01-21 00:00:00,MKR/USD,1901.5,1917.5,1700.8,1802.4,381002.07180530403,211.38596971
1642636800000,2022-01-20 00:00:00,MKR/USD,1997.7,2059.7,1897.7,1904.0,31855.544721280003,16.73085332
1642550400000,2022-01-19 00:00:00,MKR/USD,2063.3,2064.7,1996.4,1996.8,73982.32981401599,37.05044562
1642464000000,2022-01-18 00:00:00,MKR/USD,2100.5,2122.8,2033.2,2063.2,204126.898844168,98.93703899
1642377600000,2022-01-17 00:00:00,MKR/USD,2259.3,2271.2,2077.3,2098.1,452027.85559393995,215.4462874
1642291200000,2022-01-16 00:00:00,MKR/USD,2210.8,2256.4,2183.3,2256.4,331525.61843288,146.9267942
1642204800000,2022-01-15 00:00:00,MKR/USD,2197.8,2239.4,2171.1,2215.0,78083.19278055,35.252005770000004
1642118400000,2022-01-14 00:00:00,MKR/USD,2090.6,2195.9,2087.4,2195.9,130615.07316650101,59.48133939
1642032000000,2022-01-13 00:00:00,MKR/USD,2176.4,2200.0,2078.0,2094.6,361808.071758678,172.73373043
1641945600000,2022-01-12 00:00:00,MKR/USD,2077.6,2180.4,2043.9,2166.3,161316.86995626302,74.46654201
1641859200000,2022-01-11 00:00:00,MKR/USD,1987.7,2085.9,1976.3,2074.1,234547.585357799,113.08402939
1641772800000,2022-01-10 00:00:00,MKR/USD,2128.3,2147.4,1942.9,1986.0,405210.10285812,204.03328442
1641686400000,2022-01-09 00:00:00,MKR/USD,2042.8,2157.3,2037.3,2123.7,425159.96324653795,200.19775074
1641600000000,2022-01-08 00:00:00,MKR/USD,2129.9,2184.0,1998.5,2048.1,283257.476843061,138.30256181
1641513600000,2022-01-07 00:00:00,MKR/USD,2246.5,2246.5,2108.7,2125.9,223759.917088134,105.25420626
1641427200000,2022-01-06 00:00:00,MKR/USD,2226.5,2367.8,2119.6,2246.2,499102.21003013797,222.19847299
1641340800000,2022-01-05 00:00:00,MKR/USD,2447.3,2518.0,2188.0,2240.9,446879.700430434,199.41974226
1641254400000,2022-01-04 00:00:00,MKR/USD,2392.1,2536.1,2357.3,2459.4,517956.448824306,210.60276849
1641168000000,2022-01-03 00:00:00,MKR/USD,2468.2,2592.0,2379.1,2400.7,580687.698068894,241.88265842
1641081600000,2022-01-02 00:00:00,MKR/USD,2424.5,2540.1,2329.4,2468.3,593062.659966458,240.27170926
